"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","Synthetic","KeyPoint","Withheld","Overlap","ScanAngleRank","UserData","PointSourceId","GpsTime"
-16399.698,-62700.761,13.362,5617.000,1.000,1.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.560
-16399.238,-62700.121,13.362,5983.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.560
-16399.368,-62701.071,13.372,5997.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.572
-16398.908,-62700.431,13.372,6470.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.572
-16399.818,-62702.401,13.362,4111.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.585
-16399.338,-62701.761,13.402,6239.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.585
-16398.868,-62701.101,13.382,6166.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.585
-16398.388,-62700.461,13.402,6810.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.585
-16399.668,-62703.051,13.352,5199.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.597
-16399.198,-62702.411,13.352,4875.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.597
-16398.728,-62701.761,13.382,5317.000,1.000,1.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.597
-16398.258,-62701.111,13.362,6361.000,1.000,1.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.597
-16398.258,-62700.081,14.982,1879.000,1.000,2.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.597
-16397.858,-62700.381,13.652,6314.000,2.000,2.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.597
-16399.808,-62703.781,13.472,2465.000,1.000,1.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.609
-16399.298,-62703.121,13.352,4897.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.609
-16398.818,-62702.471,13.362,3933.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.609
-16398.348,-62701.831,13.362,4491.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.609
-16397.888,-62701.191,13.372,5639.000,1.000,1.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.609
-16397.908,-62700.191,14.992,2509.000,1.000,2.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.609
-16397.468,-62700.511,13.502,4198.000,2.000,2.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,16.000,0.000,18.000,352596056.609
