"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","Synthetic","KeyPoint","Withheld","Overlap","ScanAngleRank","UserData","PointSourceId","GpsTime","Red","Green","Blue"
-5599.971,-35106.097,3.602,680.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.207,19532.000,20046.000,20560.000
-5599.976,-35111.458,3.440,715.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.287,20560.000,21074.000,21588.000
-5599.978,-35115.695,3.543,311.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.347,19018.000,19275.000,20303.000
-5599.992,-35119.757,3.603,722.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.407,18504.000,20046.000,20817.000
-5599.992,-35129.327,3.431,505.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.547,18504.000,19789.000,21074.000
-5600.000,-35135.622,3.580,1513.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188552.627,21845.000,22873.000,23644.000
-5599.959,-35200.846,3.543,1605.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188553.553,22616.000,23387.000,24415.000
-5599.953,-35207.670,3.513,514.000,1.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188553.667,18761.000,19532.000,20046.000
-5599.988,-35103.768,3.673,439.000,2.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188561.149,20046.000,21074.000,22102.000
-5599.990,-35106.097,3.593,682.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,-4.000,0.000,95.000,188561.176,19532.000,20046.000,20560.000
